986 2993
46 7 283
255 97 160
612 681 561
694 904 901
413 632 365
728 257 82
269 435 668
444 387 897
800 408 297
845 612 287
784 581 613
866 652 753
328 964 116
81 93 48
10 20 514
465 376 714
754 359 995
438 323 250
594 947 332
670 469 145
897 476 88
334 54 143
353 617 338
588 377 304
877 650 4
628 666 634
310 687 410
326 686 791
248 143 436
89 215 94
858 226 231
494 899 594
149 206 77
931 935 553
957 330 741
665 300 883
571 332 112
515 699 340
608 730 19
889 964 991
816 27 133
521 459 841
559 856 831
552 971 837
968 456 1
663 132 300
365 940 759
88 479 236
129 469 852
983 63 872
891 844 3
742 293 753
219 303 742
12 898 199
44 22 439
369 21 965
268 569 443
83 210 690
255 403 690
92 296 649
693 242 119
971 638 411
705 136 887
730 238 972
171 798 950
287 859 202
391 353 234
797 597 791
34 845 714
629 772 788
169 948 235
800 132 527
576 561 487
200 1 717
535 794 450
534 450 485
789 572 67
45 38 84
765 199 527
149 737 705
883 606 87
704 186 205
15 418 117
494 671 1000
492 519 746
650 305 595
96 131 912
785 837 844
420 163 62
104 163 786
454 317 126
733 938 875
423 41 170
973 544 15
956 863 558
915 876 989
923 358 920
766 660 296
193 777 901
605 723 50
183 497 949
452 896 288
501 173 29
93 710 3
472 105 722
107 402 378
28 213 511
142 889 758
653 943 44
823 243 679
690 419 941
75 306 34
404 805 677
441 750 702
567 358 579
604 367 30
319 204 174
112 272 287
25 34 697
905 193 833
59 895 904
409 188 851
419 705 262
36 762 730
96 636 541
527 1 482
696 166 221
949 566 351
447 193 308
699 785 323
697 593 722
434 499 475
630 227 596
63 819 618
404 114 321
554 613 235
209 361 896
73 912 953
43 964 376
860 367 176
838 447 440
453 142 89
334 180 232
811 42 176
393 619 519
618 735 239
292 193 197
907 659 973
669 300 601
822 687 982
548 597 905
16 577 4
226 255 224
135 16 422
101 15 886
601 693 289
425 629 412
939 91 38
968 608 140
675 873 844
548 108 1
358 920 420
986 349 595
778 955 379
323 618 223
655 611 820
268 126 520
315 204 997
966 874 297
291 175 88
815 358 31
456 362 803
498 719 103
34 404 327
373 640 979
442 41 191
571 647 978
904 268 671
24 55 627
625 389 244
68 871 933
640 131 900
614 794 963
338 617 74
255 967 679
926 74 888
457 811 778
224 688 412
376 213 641
119 859 342
972 675 79
485 279 640
966 270 517
253 292 743
255 502 977
315 520 695
77 334 397
140 234 759
25 177 614
567 794 610
281 95 887
493 516 409
614 355 270
28 655 249
121 658 592
871 882 537
801 419 276
921 927 581
467 586 459
410 596 268
232 481 608
572 349 718
924 41 145
734 596 457
5 407 773
596 823 383
111 623 306
979 90 51
88 732 471
463 613 172
299 966 607
569 195 308
379 68 149
359 27 347
618 972 492
138 74 865
256 325 189
825 649 415
714 123 126
373 946 989
855 233 771
200 551 303
307 966 39
251 943 472
225 435 515
500 486 618
713 806 118
59 563 126
279 783 593
953 186 557
467 708 904
736 297 776
772 35 265
138 720 605
258 362 807
255 254 601
805 141 671
530 257 376
943 261 939
229 379 667
904 14 195
515 518 679
162 537 800
13 424 211
530 894 3
664 156 803
943 830 156
708 381 789
685 719 465
358 877 123
344 171 782
551 241 836
123 2 964
60 390 917
218 63 377
385 838 170
187 327 977
368 173 159
908 409 442
153 112 369
36 799 592
105 669 854
914 432 352
497 685 955
73 653 481
385 406 490
287 624 727
912 851 737
35 40 513
138 897 323
131 530 46
305 637 262
765 602 357
653 374 183
114 375 638
566 36 263
304 681 195
5 38 826
21 662 840
786 115 440
306 874 376
663 623 291
342 553 178
593 629 705
516 129 37
981 299 896
149 94 942
877 21 685
249 707 233
213 981 897
735 625 893
425 116 183
802 534 799
410 346 960
583 290 8
383 196 930
224 959 786
637 781 833
632 975 370
967 516 466
620 498 332
365 922 743
602 707 98
281 662 813
676 547 305
658 351 533
22 99 665
180 155 868
941 71 978
706 696 487
138 954 258
476 63 210
200 768 728
662 669 760
808 233 459
546 584 181
540 568 39
328 938 402
598 63 717
25 67 828
252 276 77
317 310 208
684 77 843
51 693 840
105 398 846
259 952 232
698 788 511
145 182 9
224 178 112
246 150 314
22 247 932
841 56 713
128 976 785
588 417 136
179 796 545
778 502 824
65 653 642
786 929 498
861 413 384
449 583 317
484 148 114
87 316 212
574 146 590
528 47 760
331 35 901
14 237 680
285 351 658
485 897 823
874 552 867
3 73 770
571 196 90
493 359 442
104 976 315
910 621 508
142 946 15
318 325 985
891 865 827
108 333 131
832 972 802
155 93 971
961 302 944
21 222 80
452 964 164
709 645 231
971 550 741
518 81 874
529 948 352
454 345 49
664 498 763
758 919 737
316 251 61
825 278 819
172 128 773
392 221 847
875 713 574
725 971 372
502 401 126
553 574 37
69 973 633
245 165 782
274 147 937
630 209 373
685 21 975
163 646 866
211 439 908
682 857 528
90 503 330
626 715 709
886 762 231
27 503 331
918 673 142
459 859 890
668 153 445
41 68 886
576 555 876
315 194 598
826 221 73
209 876 407
817 699 588
235 631 953
425 984 545
769 481 217
629 288 482
949 302 442
186 164 410
596 95 12
282 41 643
947 368 469
362 444 794
699 702 279
792 954 758
558 744 25
485 666 440
42 467 665
455 37 46
746 609 838
19 524 187
964 211 152
188 43 210
715 645 664
928 983 516
891 682 157
819 374 507
228 670 333
823 934 266
195 920 582
70 965 610
304 101 701
784 336 744
52 89 883
454 475 829
790 57 678
49 30 419
457 543 126
357 818 21
724 734 102
54 472 65
386 690 566
725 571 479
415 523 102
218 907 94
20 158 325
647 523 756
767 290 560
716 945 711
273 297 936
609 267 88
587 486 861
236 137 380
462 400 245
752 93 726
88 805 452
682 199 775
31 255 460
728 946 827
959 100 159
889 628 162
578 37 456
755 943 266
165 933 655
121 635 648
366 34 498
141 7 798
6 286 931
597 677 269
37 781 645
636 72 426
394 15 407
946 449 35
920 129 139
696 539 952
970 158 567
623 101 961
306 258 719
73 554 176
234 514 229
58 340 220
194 165 792
339 933 476
258 306 853
288 718 420
52 16 380
21 945 645
723 152 737
624 985 533
377 756 186
397 317 322
397 69 102
559 252 117
180 606 674
709 142 913
490 849 134
660 710 846
314 747 783
200 937 958
986 51 105
864 832 762
194 473 838
698 29 267
237 682 363
187 941 138
92 135 143
199 948 770
935 747 916
763 482 978
72 721 84
455 766 320
511 625 954
958 868 293
692 387 2
940 312 622
386 436 253
525 427 352
208 664 167
573 736 289
258 356 194
165 879 995
668 818 158
437 83 795
868 559 478
801 457 40
738 667 753
133 583 78
868 984 248
410 710 373
39 918 250
501 365 270
224 610 151
91 880 668
624 488 460
278 627 743
86 887 21
233 857 422
121 702 434
475 540 221
880 52 319
216 589 199
178 387 986
683 257 583
242 18 597
78 410 251
472 978 526
240 361 545
312 709 716
962 821 958
768 310 692
406 162 681
476 377 619
873 344 608
971 253 492
704 587 575
848 480 739
296 447 887
327 948 376
542 882 805
897 476 224
146 610 319
386 224 598
765 28 306
917 108 355
392 664 609
178 217 320
831 40 663
882 254 669
836 394 410
205 385 19
560 857 520
576 179 254
793 367 247
138 810 200
266 575 930
496 429 551
850 268 631
932 526 877
268 529 82
741 482 631
66 462 769
779 913 177
968 735 640
941 521 681
943 59 430
279 189 832
906 259 361
371 584 117
493 302 9
286 659 624
660 548 531
375 284 351
26 368 771
14 431 567
18 814 294
579 76 210
772 2 70
803 864 625
666 796 489
88 897 747
712 542 596
445 486 783
42 228 853
687 476 852
675 764 861
403 86 585
98 699 816
543 162 383
925 962 588
213 905 193
547 437 795
233 663 844
597 700 903
266 428 434
984 743 952
100 953 904
166 180 826
666 444 655
128 371 526
495 276 183
531 951 779
530 838 790
95 640 78
141 900 837
503 635 739
728 71 734
752 828 760
646 505 432
799 239 695
538 386 134
677 73 257
947 273 64
452 258 936
14 425 563
364 217 436
440 335 905
654 673 737
737 518 709
792 702 962
390 490 138
125 483 509
427 866 994
980 2 323
888 515 671
430 112 467
487 573 152
208 838 66
476 613 709
308 693 414
683 255 664
488 501 559
97 567 505
885 853 136
794 245 66
718 20 761
138 632 430
14 136 961
552 220 564
768 622 364
308 622 396
533 205 826
596 977 315
465 175 469
982 964 697
77 491 856
434 731 35
493 764 897
205 66 237
153 528 474
907 765 753
862 793 195
847 677 648
841 979 89
171 374 691
58 83 736
317 222 251
741 759 641
170 293 602
154 598 162
424 570 972
78 289 977
384 369 338
364 745 469
827 846 681
837 786 505
779 68 606
322 11 285
590 469 326
526 369 680
772 32 182
84 74 763
448 615 138
360 694 478
924 127 517
955 83 636
177 865 16
878 747 82
844 335 39
637 711 893
357 833 920
231 520 241
21 139 939
369 719 925
834 601 165
235 527 621
234 586 701
388 629 706
7 540 554
105 329 76
372 517 858
567 672 125
852 672 348
384 46 104
171 609 371
373 489 607
135 928 252
304 643 788
170 875 345
184 413 502
673 907 647
286 617 825
103 220 509
770 204 938
769 756 572
460 77 192
972 507 417
813 436 998
261 735 356
321 740 20
649 10 211
290 487 273
829 271 178
356 902 755
954 176 853
728 984 139
242 344 285
434 579 563
948 970 921
928 479 276
874 861 948
828 481 889
598 118 68
422 938 473
720 583 343
765 413 614
500 187 144
62 949 611
709 181 104
179 241 782
520 24 319
170 105 605
847 365 993
251 693 230
691 413 367
141 702 191
266 428 9
342 435 22
33 27 423
163 58 220
123 712 621
112 516 425
297 347 711
372 463 309
391 658 267
331 107 397
14 130 546
693 312 302
94 436 507
47 159 67
73 105 6
759 687 364
259 214 916
547 667 774
219 40 782
104 922 675
596 546 522
396 334 780
67 460 165
344 242 15
744 505 445
795 564 902
626 748 133
423 702 170
104 804 120
227 715 235
521 963 486
746 47 879
235 287 619
862 402 986
293 510 418
806 458 114
482 623 811
967 719 260
308 102 859
362 709 835
534 627 931
857 812 53
882 25 721
737 456 135
840 779 361
826 660 616
212 216 235
932 473 699
662 135 191
300 472 118
55 271 112
872 28 963
647 402 323
849 741 473
621 369 694
633 13 228
556 650 917
65 862 579
644 590 640
817 677 407
881 497 538
875 312 656
317 565 402
809 349 705
558 21 679
510 421 781
448 689 291
41 123 243
204 973 383
126 518 719
649 297 691
963 916 325
908 652 333
549 881 277
920 753 366
636 48 247
306 592 157
801 604 711
63 500 232
407 526 893
876 266 824
94 965 210
713 661 702
56 590 447
343 646 451
729 842 552
790 530 576
133 726 472
563 246 185
980 913 370
169 836 283
240 798 38
119 260 722
733 306 519
33 263 303
511 323 695
713 655 9
169 360 590
867 739 369
429 290 224
329 812 973
535 716 554
75 197 99
936 106 210
232 559 68
799 565 599
566 744 478
885 928 29
532 862 142
202 958 297
369 482 733
28 159 174
462 173 502
574 122 296
940 130 320
119 443 767
642 445 482
123 286 689
670 887 602
315 364 615
64 976 467
976 666 534
314 125 400
183 155 372
6 491 584
851 526 513
237 319 25
522 752 388
543 753 186
304 709 603
273 388 364
85 862 920
115 747 478
975 747 743
400 164 653
670 530 153
172 115 90
939 521 132
355 403 88
295 402 574
719 284 358
543 889 423
285 927 369
385 38 723
318 60 457
245 404 393
21 477 857
89 537 938
562 946 659
391 566 5
364 351 226
167 363 396
872 548 291
195 186 628
812 422 90
480 365 894
969 518 645
923 686 270
390 135 451
495 968 506
505 669 24
761 297 795
622 580 57
506 859 435
802 399 669
742 284 21
880 791 962
315 312 369
298 92 819
325 611 603
53 480 189
22 406 471
857 386 969
399 599 222
487 107 232
881 13 222
682 756 955
615 312 35
609 588 696
842 578 617
330 506 26
518 419 103
329 510 154
913 819 380
656 371 10
193 45 786
280 353 380
732 55 720
621 543 857
693 969 509
35 281 633
764 892 465
899 23 602
445 632 522
670 804 378
808 356 757
871 945 694
914 386 623
696 165 346
301 635 918
545 102 256
143 935 606
309 272 896
342 659 368
618 692 698
784 584 349
481 968 236
256 569 204
606 943 15
99 590 93
501 368 477
463 652 728
155 912 807
24 311 494
510 520 784
290 571 378
296 886 393
514 533 411
73 89 239
946 869 785
845 575 742
494 778 183
611 408 921
127 765 888
282 545 526
223 888 808
516 636 501
482 610 514
441 402 501
375 260 955
518 188 559
898 452 881
379 231 446
228 151 607
139 373 806
958 470 9
870 673 586
935 557 81
100 813 301
336 925 360
694 274 182
574 420 445
99 113 68
587 485 488
94 401 264
847 452 65
193 292 278
203 211 41
146 555 383
458 948 280
827 263 211
922 669 782
289 368 977
299 352 892
582 212 671
89 748 903
522 476 286
802 619 829
80 163 912
873 266 926
245 28 999
49 982 828
711 597 274
528 241 68
923 527 390
363 819 484
220 790 866
298 655 600
444 839 613
109 480 226
227 10 249
104 880 405
944 504 12
274 911 874
584 147 948
307 145 900
121 706 201
658 221 482
209 510 248
967 393 18
841 611 480
853 310 749
732 794 172
566 375 251
759 97 131
252 928 249
45 917 680
228 130 954
13 437 830
516 515 152
984 180 332
838 547 3
731 488 290
769 76 39
159 599 551
160 459 543
2 56 107
341 842 89
778 330 128
171 815 924
676 414 766
833 588 711
755 786 785
13 358 517
34 367 194
818 74 820
578 705 976
737 836 287
529 241 225
633 762 371
320 755 766
420 666 557
459 895 43
20 597 332
853 262 467
812 407 800
371 979 489
687 641 16
667 153 722
265 83 532
273 235 150
959 374 737
934 2 296
965 5 298
253 42 645
216 36 150
298 207 404
943 431 490
387 310 732
371 102 632
731 248 2
702 409 74
295 944 923
751 494 427
458 588 321
394 967 951
859 420 335
452 34 964
123 328 31
980 281 740
781 46 784
126 433 334
359 940 273
653 432 78
341 562 982
289 944 864
897 620 449
674 427 529
361 500 805
607 335 840
273 688 706
754 372 246
908 125 187
34 52 238
379 720 822
723 529 458
570 334 557
404 436 544
303 203 614
933 924 630
435 34 924
350 268 840
479 156 567
708 432 451
9 499 158
438 93 302
238 155 859
909 64 463
231 763 663
449 178 879
863 130 403
598 753 696
299 608 781
327 557 748
936 698 502
273 104 991
894 623 632
432 444 625
927 806 865
595 472 791
501 402 9
395 902 391
975 298 148
595 974 571
107 553 771
725 628 465
85 742 150
869 570 293
104 666 935
853 40 914
559 880 359
493 232 983
549 934 415
115 82 927
890 901 498
812 404 850
225 46 792
642 976 956
102 662 819
243 746 777
410 99 452
168 439 123
476 685 528
780 13 471
858 712 115
540 362 848
247 204 140
467 149 144
380 283 588
923 895 795
131 755 138
804 973 636
98 455 109
333 135 17
593 811 773
200 365 488
830 182 954
654 960 186
138 878 165
546 727 497
501 744 139
4 48 31
518 955 161
599 540 429
79 107 363
865 32 23
552 524 239
483 561 184
697 239 415
363 196 422
835 680 585
769 424 265
323 357 734
320 634 810
252 786 575
36 398 974
131 699 391
320 798 73
792 312 398
946 326 886
902 824 846
438 678 886
344 763 913
178 234 269
936 606 65
325 403 974
690 777 658
961 601 305
793 766 584
752 385 441
789 261 842
175 51 133
143 266 681
591 412 852
437 521 370
310 142 565
431 663 85
43 725 985
832 783 165
752 413 179
850 382 777
280 933 711
29 468 421
589 861 741
799 87 58
851 312 54
607 830 224
486 306 998
435 307 594
967 854 364
504 654 601
322 41 621
493 807 867
616 588 567
89 861 916
512 508 371
445 672 729
310 372 900
459 496 290
237 696 766
946 549 433
752 33 161
836 436 230
569 89 158
168 387 556
905 709 527
453 47 161
776 96 130
287 62 398
139 878 837
52 85 232
402 479 550
554 832 140
809 974 620
327 826 385
303 82 227
410 34 341
808 901 643
941 92 694
928 146 507
730 67 579
365 655 273
374 297 279
334 116 438
58 152 455
772 654 295
931 925 3
281 122 21
530 880 297
360 391 196
471 168 525
61 886 182
833 344 664
364 192 122
811 741 384
986 413 807
382 6 17
131 971 592
841 397 910
943 468 755
673 568 607
926 414 815
903 662 99
61 59 15
901 95 390
541 863 96
91 897 929
978 145 51
121 892 583
965 93 441
903 749 881
456 103 286
592 148 980
529 30 818
17 135 480
632 177 578
544 911 486
287 679 382
268 197 868
430 788 456
496 396 590
520 98 563
21 917 335
867 469 847
747 855 686
435 223 839
451 314 475
501 496 626
509 107 344
684 823 600
758 580 324
956 363 556
709 23 766
188 716 295
663 478 833
80 777 790
436 825 520
717 350 57
956 711 442
410 600 707
163 787 820
171 724 221
674 142 183
777 10 672
376 227 166
14 21 132
186 96 556
493 687 376
428 25 792
445 680 553
659 143 235
798 41 762
655 790 670
88 536 444
916 490 495
125 858 851
408 166 454
359 55 210
198 471 44
379 280 181
732 631 930
578 495 751
983 171 270
745 957 801
491 692 183
677 807 65
474 43 517
755 152 247
124 322 144
875 626 545
741 659 947
546 294 192
320 120 977
390 473 129
330 546 172
328 576 139
356 915 744
756 201 38
340 496 949
71 876 594
630 368 64
783 282 516
173 937 270
977 606 159
412 152 890
838 916 747
516 137 612
561 66 215
387 199 821
405 171 977
86 383 394
123 326 187
276 776 903
616 899 163
666 236 31
953 96 79
122 349 280
526 290 405
11 327 773
305 274 123
137 190 650
417 826 434
986 252 147
766 364 442
700 705 343
801 919 886
433 424 760
944 780 328
887 763 775
577 943 202
148 179 824
847 440 213
492 718 4
507 741 27
232 535 528
458 238 179
105 304 537
261 509 907
691 658 220
650 935 428
244 972 17
947 84 914
50 639 509
855 116 58
539 570 738
828 609 953
983 207 610
137 923 284
722 847 637
780 802 239
560 300 499
801 624 725
985 707 561
120 303 146
574 901 895
306 401 676
91 541 604
497 341 144
279 614 927
106 910 966
591 771 340
225 927 517
101 375 786
90 403 223
231 751 778
644 730 415
195 754 893
946 454 216
665 618 469
192 489 724
219 166 972
270 300 532
832 526 609
9 595 19
353 177 154
199 127 400
223 587 262
28 333 822
50 457 667
878 226 918
930 975 325
945 474 188
90 137 929
259 140 762
17 655 399
617 931 795
224 415 948
803 218 52
31 681 782
892 819 157
23 611 288
592 923 981
187 307 5
778 726 295
584 195 564
201 69 35
272 882 419
369 622 816
934 923 826
121 980 912
625 229 472
845 360 197
608 569 13
770 760 193
531 6 749
816 263 455
31 305 868
253 649 113
742 414 71
300 222 708
535 496 245
378 193 944
628 527 210
153 369 962
811 587 609
794 338 291
482 224 339
810 952 376
319 782 946
978 856 384
644 702 456
242 635 60
167 260 691
511 113 440
168 59 259
152 943 251
158 674 606
841 25 243
335 212 801
411 470 766
242 610 428
460 882 675
936 927 331
62 476 551
333 351 417
528 27 650
212 853 463
641 81 413
937 506 186
239 777 139
198 53 395
77 198 107
84 296 225
827 477 491
780 749 767
234 157 650
68 627 949
757 511 917
620 936 425
658 200 402
891 233 412
300 684 642
86 473 256
560 620 922
687 373 335
184 553 589
200 465 540
943 408 989
515 495 667
117 415 604
516 320 721
461 439 311
523 314 133
597 764 829
79 543 120
176 793 671
751 135 879
850 37 415
678 41 52
556 564 901
78 434 630
639 37 314
920 436 543
380 84 641
219 338 936
772 70 664
249 465 753
808 97 551
193 329 797
714 44 344
725 136 915
281 213 727
183 708 79
101 511 800
279 537 877
893 502 315
962 946 10
540 523 57
438 899 894
719 515 545
46 302 811
202 158 688
768 202 245
166 313 818
979 631 210
825 214 924
729 184 147
777 448 146
891 481 617
827 794 951
316 254 386
881 607 681
803 156 611
749 338 650
472 610 252
955 255 440
716 402 47
736 658 286
795 281 151
939 755 508
619 58 35
377 323 87
311 103 129
40 605 307
971 945 565
705 320 829
2 18 487
522 640 671
558 513 730
104 784 252
725 657 499
179 883 626
212 148 731
119 433 646
24 696 597
392 8 430
676 790 719
434 466 52
842 930 107
138 572 495
798 23 111
607 95 16
149 236 706
271 543 134
685 607 635
543 55 916
955 865 373
717 201 469
7 264 547
358 27 462
874 921 246
797 737 875
762 269 471
864 100 658
770 936 629
208 783 737
298 58 222
69 943 422
635 16 656
789 690 473
394 662 845
445 660 813
86 438 757
793 593 514
464 639 816
423 79 855
550 884 736
658 904 549
29 561 419
243 604 973
646 512 34
487 764 73
322 245 442
897 379 352
909 827 966
737 733 237
185 879 840
475 351 595
200 849 189
850 320 630
182 942 385
185 85 492
550 752 956
639 799 238
441 204 59
522 389 707
937 158 869
739 126 174
554 449 828
768 290 447
897 88 623
896 817 140
147 950 838
718 159 226
166 508 767
312 108 99
172 342 790
830 717 904
602 918 672
481 65 870
557 358 133
496 986 369
926 128 86
110 881 294
177 826 3
23 576 442
739 842 254
348 78 886
595 655 520
431 888 111
715 655 659
430 570 650
492 634 924
49 972 38
287 946 737
921 304 332
370 767 291
739 591 307
985 875 162
137 19 611
350 564 86
355 595 448
926 346 819
572 245 602
689 748 806
389 611 820
70 727 921
47 102 585
36 254 923
534 6 491
614 109 915
230 857 350
549 720 21
64 414 838
841 542 977
83 662 578
493 763 545
649 333 708
319 889 391
254 283 459
507 278 310
261 97 504
289 588 770
408 273 331
690 553 644
777 413 716
548 754 714
775 19 971
9 901 471
841 540 560
703 727 589
21 270 582
647 801 691
978 929 872
220 920 375
492 973 491
734 944 552
1 971 138
579 48 148
224 374 14
268 933 940
920 829 49
251 223 183
867 123 645
718 763 930
354 93 470
773 806 235
182 193 741
874 321 568
874 910 484
442 819 405
63 685 42
279 558 406
975 112 54
209 172 442
773 735 15
270 416 542
845 959 858
75 869 155
97 146 687
618 550 714
482 800 117
314 784 282
78 537 540
108 234 488
513 245 553
975 36 514
323 113 469
430 385 306
490 684 643
57 117 765
896 858 142
962 518 529
63 439 453
752 133 39
147 303 639
167 361 161
907 571 726
759 172 846
364 559 51
527 424 212
858 357 459
798 189 999
42 915 399
49 965 109
615 529 853
938 869 551
147 661 144
468 330 508
665 685 27
43 25 667
458 158 144
729 454 152
26 246 921
410 400 954
132 121 142
465 522 151
97 456 535
708 564 638
323 652 838
308 429 160
326 785 828
124 535 279
373 793 495
608 132 834
526 385 465
654 320 409
518 231 538
698 703 980
782 644 660
375 629 410
350 186 60
768 543 792
610 773 211
121 427 657
191 301 879
825 295 990
474 732 333
559 755 856
61 483 457
235 632 112
930 573 501
826 450 893
951 323 152
343 234 855
146 831 649
786 694 860
455 894 537
728 279 863
776 257 960
855 215 508
965 928 554
194 425 251
247 52 684
488 423 798
625 346 374
313 259 964
868 896 51
67 33 714
870 263 22
233 803 686
362 14 561
697 447 572
741 896 195
275 810 297
779 871 821
911 391 901
497 406 510
744 21 627
73 773 454
303 104 803
944 579 213
678 75 868
567 223 698
382 629 639
984 383 398
777 592 371
952 483 335
753 717 231
738 919 593
544 24 728
50 766 730
156 434 36
135 329 596
265 397 636
531 692 466
226 207 797
359 330 925
136 922 557
543 135 93
409 60 93
525 11 823
668 871 861
179 242 471
351 816 887
37 877 179
585 39 942
585 185 759
829 614 715
915 686 357
331 6 215
773 776 958
324 894 30
329 943 510
430 958 218
824 148 75
681 377 198
763 948 474
708 567 415
86 414 615
61 584 491
871 404 369
770 563 748
440 525 894
15 269 558
160 616 124
551 228 893
208 322 257
297 676 537
414 393 634
558 560 172
2 604 520
3 39 715
801 882 226
396 154 180
731 236 460
222 137 133
559 808 193
588 638 357
446 865 736
283 507 881
777 426 207
124 261 173
868 329 69
24 141 980
365 379 837
138 714 697
445 408 495
20 644 687
866 592 762
196 104 531
75 613 672
979 82 745
632 643 176
716 110 62
134 680 52
395 304 596
122 903 371
273 4 724
291 148 203
937 393 635
643 809 430
177 520 423
845 943 311
550 407 285
165 341 489
937 925 50
114 755 90
227 365 932
163 382 722
482 559 665
506 914 185
853 705 405
767 568 328
158 115 780
735 758 803
694 784 675
73 344 635
592 685 322
964 267 442
94 779 536
576 839 801
978 921 780
526 200 582
